Light;Co2;TDS;TEMP;HUM;WaterTemp;pH;CropType;Method;yield_per_sqm
13698,8;918,7;1456,7;23,93;52,63;18,52;6,15;Spinach;AQUAPONIC;4,158
21270,0;888,1;1277,9;22,79;73,29;16,9;6,85;Chinese Cabbage;HYDROPONIC;4,552
8775,5;808,9;1509,6;17,81;54,31;13,04;6,41;Lettuce;AQUAPONIC;4,745
7861,6;937,9;836,1;27,46;79,01;22,09;5,87;Chinese Cabbage;HYDROPONIC;4,049
19733,7;1005,5;1705,3;23,19;73,01;18,52;6,36;Chinese Cabbage;HYDROPONIC;4,175
16344,4;891,5;1232,8;28,63;59,26;24,73;5,67;Bok Choy;SOIL_BASED;3,605
17916,1;726,9;1507,0;18,57;73,7;12,88;5,86;Lettuce;HYDROPONIC;5,457
13292,9;717,8;1408,1;18,55;65,16;14,73;6,68;Lettuce;HYDROPONIC;5,559
16909,8;704,3;760,6;22,73;71,63;18,77;6,08;Lettuce;AEROPONIC;5,999
14058,7;834,8;1336,8;26,24;57,11;21,58;6,04;Chinese Cabbage;AQUAPONIC;3,86
17533,8;960,8;730,7;20,08;56,59;15,79;6,32;Spinach;HYDROPONIC;4,822
18061,1;599,0;1408,5;19,98;70,7;16,66;6,49;Lettuce;AQUAPONIC;4,752
17732,4;910,8;1336,5;24,54;84,01;19,34;6,8;Chinese Cabbage;HYDROPONIC;4,063
12209,3;987,7;947,4;22,62;62,52;18,8;6,05;Bok Choy;SOIL_BASED;3,57
14823,2;546,6;1329,0;25,02;61,87;19,87;5,64;Spinach;AEROPONIC;4,638
11145,2;724,4;1156,5;22,67;65,12;18,43;6,45;Bok Choy;HYDROPONIC;5,121
16435,6;607,2;1237,4;24,58;56,75;20,38;5,56;Spinach;AQUAPONIC;4,378
15687,7;842,2;607,4;27,33;72,7;23,5;6,09;Chinese Cabbage;SOIL_BASED;3,096
8924,5;658,7;958,1;20,09;75,67;15,43;5,73;Kale;AQUAPONIC;5,195
16106,9;635,5;1075,4;26,82;72,1;23,02;6,15;Spinach;SOIL_BASED;3,386
16025,9;967,6;984,4;18,73;66,56;12,0;5,73;Bok Choy;AEROPONIC;5,087
16486,4;643,7;1143,4;25,21;59,29;20,19;5,87;Chinese Cabbage;SOIL_BASED;3,034
14662,2;823,3;1105,2;27,47;85,54;22,39;5,81;Spinach;AQUAPONIC;4,113
16476,9;774,8;1358,4;22,03;60,71;18,75;5,07;Kale;AQUAPONIC;5,386
15600,2;702,3;569,7;25,3;60,51;20,41;5,86;Kale;HYDROPONIC;5,714
11382,4;765,0;1798,0;22,14;52,77;17,6;6,86;Lettuce;SOIL_BASED;4,212
16708,9;751,2;1120,0;25,14;55,91;21,41;6,42;Lettuce;AQUAPONIC;4,827
11165,2;939,3;1200,3;17,18;70,97;12,0;6,33;Bok Choy;HYDROPONIC;4,611
10761,1;926,3;1434,6;23,95;64,37;20,72;5,53;Spinach;AEROPONIC;5,344
15239,7;840,1;1732,1;24,61;60,66;21,05;5,89;Spinach;AQUAPONIC;4,627
5170,4;993,6;1126,8;27,27;61,22;23,07;6,15;Lettuce;HYDROPONIC;5,727
12163,6;876,7;1459,2;26,09;63,63;20,72;6,78;Spinach;AQUAPONIC;4,114
13403,3;671,4;1105,6;23,05;62,35;19,24;5,26;Spinach;SOIL_BASED;3,286
19135,9;690,5;1524,5;24,25;79,92;20,94;6,1;Kale;HYDROPONIC;5,796
13745,8;1076,5;1461,3;19,45;64,84;15,73;5,48;Lettuce;SOIL_BASED;4,083
21240,8;898,8;1002,9;28,1;69,24;24,39;6,17;Chinese Cabbage;AEROPONIC;4,501
9287,4;804,9;1430,5;25,44;68,5;21,06;6,22;Lettuce;SOIL_BASED;3,877
16151,0;808,8;908,9;18,29;68,79;14,59;6,07;Chinese Cabbage;HYDROPONIC;4,176
16772,2;789,6;1087,2;24,19;64,85;20,44;6,75;Kale;AQUAPONIC;5,427
11279,2;1122,7;931,8;24,4;63,97;20,33;5,18;Bok Choy;HYDROPONIC;4,879
14184,8;664,6;1280,2;21,33;73,47;18,19;5,76;Spinach;SOIL_BASED;3,485
14132,6;906,0;1539,6;23,77;69,87;18,78;5,94;Kale;SOIL_BASED;4,425
18304,2;958,3;956,9;21,05;61,55;17,0;5,79;Spinach;AQUAPONIC;4,68
9453,1;681,4;1384,2;19,57;43,69;15,92;5,59;Bok Choy;AEROPONIC;4,729
21077,0;671,0;1217,1;21,78;62,84;17,36;5,44;Bok Choy;HYDROPONIC;5,026
7851,0;568,5;1013,1;23,98;56,44;19,47;6,27;Kale;AQUAPONIC;5,3
